delta_m,i_d,v_r,v_g,v_b
1,0.003559356,0.000000,0.000000,0.000000
1,0.003594949,0.003922,0.003922,0.003922
1,0.003630899,0.000000,0.000000,0.000000
1,0.003667208,0.000000,0.000000,0.000000
1,0.003703880,0.000000,0.000000,0.000000
1,0.003740919,0.000000,0.000000,0.000000
1,0.003778328,0.000000,0.000000,0.000000
1,0.003816111,0.003922,0.003922,0.003922
1,0.003854272,0.003922,0.003922,0.003922
1,0.003892815,0.003922,0.003922,0.003922
1,0.003931743,0.000000,0.000000,0.000000
1,0.003971060,0.000000,0.000000,0.000000
1,0.004010771,0.003922,0.003922,0.003922
1,0.004050879,0.000000,0.000000,0.000000
1,0.004091388,0.000000,0.000000,0.000000
1,0.004132302,0.003922,0.003922,0.003922
1,0.004173624,0.000000,0.000000,0.000000
1,0.004215361,0.003922,0.003922,0.003922
1,0.004257514,0.000000,0.000000,0.000000
1,0.004300089,0.000000,0.000000,0.000000
1,0.004343090,0.000000,0.000000,0.000000
1,0.004386521,0.000000,0.000000,0.000000
1,0.004430386,0.000000,0.000000,0.000000
1,0.004474690,0.003922,0.003922,0.003922
1,0.004519437,0.003922,0.003922,0.003922
1,0.004564631,0.003922,0.003922,0.003922
1,0.004610278,0.000000,0.000000,0.000000
1,0.004656381,0.000000,0.000000,0.000000
1,0.004702944,0.003922,0.003922,0.003922
1,0.004749974,0.000000,0.000000,0.000000
1,0.004797474,0.000000,0.000000,0.000000
1,0.004845448,0.003922,0.003922,0.003922
1,0.004893903,0.000000,0.000000,0.000000
1,0.004942842,0.003922,0.003922,0.003922
1,0.004992270,0.000000,0.000000,0.000000
1,0.005042193,0.000000,0.000000,0.000000
1,0.005092615,0.000000,0.000000,0.000000
1,0.005143541,0.000000,0.000000,0.000000
1,0.005194976,0.000000,0.000000,0.000000
1,0.005246926,0.003922,0.003922,0.003922
1,0.005299395,0.003922,0.003922,0.003922
1,0.005352390,0.003922,0.003922,0.003922
1,0.005405914,0.000000,0.000000,0.000000
1,0.005459973,0.000000,0.000000,0.000000
1,0.005514572,0.003922,0.003922,0.003922
1,0.005569718,0.000000,0.000000,0.000000
1,0.005625415,0.000000,0.000000,0.000000
1,0.005681669,0.003922,0.003922,0.003922
1,0.005738486,0.000000,0.000000,0.000000
1,0.005795871,0.003922,0.003922,0.003922
1,0.005853829,0.000000,0.000000,0.000000
1,0.005912368,0.000000,0.000000,0.000000
1,0.005971491,0.000000,0.000000,0.000000
1,0.006031206,0.000000,0.000000,0.000000
1,0.006091518,0.000000,0.000000,0.000000
1,0.006152433,0.003922,0.003922,0.003922
1,0.006213957,0.003922,0.003922,0.003922
1,0.006276097,0.003922,0.003922,0.003922
1,0.006338858,0.000000,0.000000,0.000000
1,0.006402247,0.000000,0.000000,0.000000
1,0.006466269,0.003922,0.003922,0.003922
1,0.006530932,0.000000,0.000000,0.000000
1,0.006596241,0.000000,0.000000,0.000000
1,0.006662203,0.003922,0.003922,0.003922
1,0.006728826,0.000000,0.000000,0.000000
1,0.006796114,0.003922,0.003922,0.003922
1,0.006864075,0.000000,0.000000,0.000000
1,0.006932715,0.000000,0.000000,0.000000
1,0.007002043,0.000000,0.000000,0.000000
1,0.007072063,0.000000,0.000000,0.000000
1,0.007142784,0.000000,0.000000,0.000000
