delta,light_intensity,grey_out
16,86.815020000,1
16,104.178000000,0
16,125.013600000,1
17,0.000100000,0
17,0.000120000,0
17,0.000144000,1
17,0.000172800,0
17,0.000207360,0
17,0.000248832,0
17,0.000298599,0
17,0.000358318,0
17,0.000429982,0
17,0.000515978,0
17,0.000619174,0
17,0.000743009,0
17,0.000891611,0
17,0.001069933,0
17,0.001283919,0
17,0.001540703,0
17,0.001848844,0
17,0.002218613,0
17,0.002662335,0
17,0.003194802,0
17,0.003833763,0
17,0.004600516,0
17,0.005520619,0
17,0.006624744,0
17,0.007949693,0
17,0.009539632,0
17,0.011447560,0
17,0.013737070,0
17,0.016484490,0
17,0.019781380,1
17,0.023737660,0
17,0.028485200,1
17,0.034182240,0
17,0.041018690,0
17,0.049222430,1
17,0.059066920,0
17,0.070880300,0
17,0.085056360,0
17,0.102067600,0
17,0.122481200,0
17,0.146977400,0
17,0.176372900,0
17,0.211647500,0
17,0.253977000,0
17,0.304772400,0
17,0.365726900,0
17,0.438872300,0
17,0.526646700,0
17,0.631976100,0
17,0.758371400,0
17,0.910045700,0
17,1.092055000,0
17,1.310466000,0
17,1.572559000,0
17,1.887071000,166
17,2.264486000,247
17,2.717383000,177
17,3.260860000,0
17,3.913032000,0
17,4.695638000,0
17,5.634766000,0
17,6.761720000,1
17,8.114064000,0
17,9.736877000,1
17,11.684250000,0
17,14.021100000,0
17,16.825330000,1
17,20.190390000,0
17,24.228470000,0
17,29.074170000,0
17,34.889000000,0
17,41.866810000,0
17,50.240170000,0
17,60.288200000,0
17,72.345850000,0
17,86.815020000,0
17,104.178000000,0
17,125.013600000,0
18,0.000100000,0
18,0.000120000,0
18,0.000144000,0
18,0.000172800,0
18,0.000207360,0
18,0.000248832,0
18,0.000298599,0
18,0.000358318,0
18,0.000429982,0
18,0.000515978,0
18,0.000619174,0
18,0.000743009,0
18,0.000891611,0
18,0.001069933,0
18,0.001283919,0
18,0.001540703,1
18,0.001848844,0
18,0.002218613,1
18,0.002662335,0
18,0.003194802,0
18,0.003833763,1
18,0.004600516,0
18,0.005520619,0
18,0.006624744,0
18,0.007949693,0
18,0.009539632,0
18,0.011447560,0
18,0.013737070,0
18,0.016484490,0
18,0.019781380,0
18,0.023737660,0
18,0.028485200,0
18,0.034182240,0
18,0.041018690,0
18,0.049222430,0
18,0.059066920,0
18,0.070880300,0
18,0.085056360,0
18,0.102067600,0
18,0.122481200,0
18,0.146977400,0
18,0.176372900,0
18,0.211647500,0
18,0.253977000,0
18,0.304772400,0
18,0.365726900,0
18,0.438872300,0
18,0.526646700,1
18,0.631976100,0
18,0.758371400,1
18,0.910045700,0
18,1.092055000,0
18,1.310466000,1
18,1.572559000,0
18,1.887071000,0
18,2.264486000,3
18,2.717383000,195
18,3.260860000,239
18,3.913032000,141
18,4.695638000,0
18,5.634766000,0
18,6.761720000,0
18,8.114064000,0
18,9.736877000,0
18,11.684250000,0
